State,Crop,Season,Soil_Type,Soil_Quality_Score,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha,Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_Pct,Temperature_C,Fertiliser_Kg_Ha,Irrigation,Insurance_Claim
Rajasthan,Cotton,Zaid,Laterite,2,14.37,71.82,4.997,875.0,793.0,10.34,23.1,397.1,1,0
Andhra Pradesh,Groundnut,Zaid,Sandy,1,35.87,165.96,4.627,670.8,687.2,-2.39,20.7,261.8,1,0
Haryana,Jowar,Kharif,Red,3,27.98,56.27,2.011,615.5,570.1,7.96,35.4,210.1,1,0
Karnataka,Maize,Zaid,Sandy,1,5.89,26.19,4.449,856.1,803.2,6.59,24.7,152.6,1,0
Andhra Pradesh,Bajra,Kharif,Red,3,46.64,49.14,1.054,568.3,748.4,-24.06,30.0,82.2,1,1
Tamil Nadu,Wheat,Zaid,Alluvial,5,22.89,57.81,2.526,693.3,819.0,-15.35,35.5,129.9,1,0
Andhra Pradesh,Jowar,Kharif,Black,4,36.86,110.35,2.994,667.2,762.2,-12.47,20.3,243.8,0,0
Punjab,Jowar,Kharif,Black,4,25.3,130.96,5.176,1406.5,688.8,104.19,30.6,313.8,1,0
Punjab,Cotton,Kharif,Alluvial,5,30.42,89.79,2.952,481.5,767.4,-37.26,25.4,357.3,1,1
Karnataka,Rice,Rabi,Alluvial,5,15.49,16.36,1.056,601.8,927.0,-35.07,34.4,327.8,0,1
Madhya Pradesh,Rice,Zaid,Red,3,10.42,28.77,2.762,661.1,769.7,-14.11,21.2,93.9,1,0
Haryana,Wheat,Kharif,Alluvial,5,27.36,95.6,3.495,687.0,821.7,-16.39,27.3,320.7,0,0
Karnataka,Bajra,Rabi,Red,3,22.29,128.06,5.745,1050.0,1164.2,-9.81,29.8,253.6,1,0
Rajasthan,Wheat,Kharif,Sandy,1,19.81,113.02,5.705,736.4,1011.3,-27.18,21.9,214.2,1,1
Maharashtra,Wheat,Rabi,Black,4,33.79,64.35,1.904,469.0,884.2,-46.96,24.8,250.5,0,1
Haryana,Soybean,Kharif,Black,4,34.68,66.78,1.926,1157.7,889.1,30.21,25.2,52.8,1,0
Haryana,Groundnut,Kharif,Black,4,2.77,5.04,1.817,865.9,743.5,16.47,32.6,73.7,0,1
Rajasthan,Groundnut,Rabi,Sandy,1,17.27,85.38,4.945,905.1,787.0,15.01,39.3,234.0,1,0
Rajasthan,Bajra,Rabi,Sandy,1,20.88,21.51,1.03,962.7,808.4,19.09,35.5,110.8,1,1
Uttar Pradesh,Soybean,Zaid,Laterite,2,5.3,8.66,1.636,492.0,865.8,-43.17,34.6,240.9,0,1
Karnataka,Jowar,Zaid,Red,3,12.18,44.93,3.69,798.3,843.4,-5.35,10.0,174.0,1,0
Rajasthan,Soybean,Rabi,Red,3,3.06,6.84,2.238,1005.3,680.7,47.68,26.8,367.6,1,0
Punjab,Wheat,Zaid,Laterite,2,49.81,72.82,1.462,639.9,939.4,-31.88,26.4,382.4,0,1
Tamil Nadu,Rice,Rabi,Black,4,36.96,103.46,2.799,876.7,764.0,14.75,30.8,392.9,0,0
Maharashtra,Sugarcane,Zaid,Red,3,4.83,11.45,2.371,935.9,1138.4,-17.79,17.4,364.6,1,0
Karnataka,Bajra,Kharif,Red,3,1.5,5.34,3.556,435.0,1037.4,-58.07,30.4,395.1,1,1
West Bengal,Jowar,Zaid,Black,4,36.1,212.88,5.896,541.9,600.8,-9.8,13.5,297.2,1,0
Punjab,Cotton,Kharif,Alluvial,5,22.24,36.06,1.622,228.8,812.0,-71.82,32.2,386.2,0,1
Madhya Pradesh,Sugarcane,Kharif,Alluvial,5,39.45,112.96,2.864,856.7,1091.2,-21.49,16.1,274.6,1,1
Rajasthan,Sugarcane,Zaid,Laterite,2,46.21,261.56,5.66,1271.2,949.4,33.9,33.3,333.2,1,0
West Bengal,Soybean,Rabi,Sandy,1,30.17,162.42,5.384,627.0,863.4,-27.38,33.0,96.2,0,1
Rajasthan,Maize,Kharif,Red,3,9.76,29.01,2.971,751.8,501.2,50.0,24.0,288.9,1,0
Haryana,Sugarcane,Kharif,Red,3,39.22,176.28,4.495,1053.3,817.4,28.87,28.6,375.9,0,0
Punjab,Wheat,Zaid,Laterite,2,47.81,68.82,1.439,866.5,881.6,-1.71,26.0,239.0,1,1
Haryana,Pulses,Rabi,Laterite,2,29.22,133.33,4.563,556.6,541.6,2.76,17.1,115.4,1,0
Uttar Pradesh,Rice,Rabi,Red,3,34.26,200.9,5.864,1181.6,942.0,25.43,29.4,234.4,1,0
Haryana,Rice,Zaid,Black,4,17.2,63.44,3.687,849.3,744.7,14.05,33.1,297.4,1,0
Uttar Pradesh,Pulses,Rabi,Black,4,19.39,67.7,3.492,741.9,895.2,-17.12,24.1,319.4,1,0
Uttar Pradesh,Groundnut,Zaid,Sandy,1,36.87,71.39,1.937,762.6,869.8,-12.32,29.8,233.3,0,1
West Bengal,Wheat,Zaid,Red,3,46.42,193.54,4.169,947.7,811.7,16.76,20.7,126.1,1,0
Rajasthan,Cotton,Zaid,Red,3,31.63,125.03,3.952,646.7,968.7,-33.25,31.5,374.3,1,1
Madhya Pradesh,Sugarcane,Kharif,Red,3,39.6,168.67,4.26,1192.9,892.2,33.7,26.1,320.8,1,0
Haryana,Groundnut,Kharif,Red,3,9.0,10.17,1.13,1114.7,1257.4,-11.35,25.9,144.7,1,0
Punjab,Wheat,Kharif,Laterite,2,10.99,41.15,3.744,802.1,1116.7,-28.17,28.8,334.1,1,1
Uttar Pradesh,Soybean,Zaid,Alluvial,5,26.84,106.66,3.975,815.4,698.1,16.8,35.2,171.8,1,0
Rajasthan,Rice,Kharif,Red,3,9.24,18.83,2.038,588.5,1028.0,-42.76,29.2,159.4,1,1
Maharashtra,Groundnut,Kharif,Alluvial,5,31.93,65.19,2.042,640.7,739.5,-13.37,19.5,352.1,0,0
Karnataka,Bajra,Kharif,Black,4,14.94,35.57,2.381,516.2,673.9,-23.4,21.7,355.6,1,1
West Bengal,Sugarcane,Zaid,Sandy,1,39.68,180.89,4.559,749.0,628.6,19.15,25.6,189.5,1,0
Madhya Pradesh,Sugarcane,Zaid,Black,4,40.5,163.27,4.031,815.6,796.3,2.42,29.0,53.1,1,0
Andhra Pradesh,Cotton,Zaid,Red,3,23.46,122.65,5.229,402.5,1000.9,-59.79,19.0,115.3,1,1
West Bengal,Maize,Kharif,Black,4,9.45,23.42,2.478,972.2,873.8,11.27,28.1,368.3,1,0
Maharashtra,Bajra,Rabi,Laterite,2,32.52,180.8,5.56,582.3,926.3,-37.14,31.3,364.6,1,1
Karnataka,Sugarcane,Kharif,Alluvial,5,49.64,234.24,4.719,903.0,400.0,125.74,23.0,208.7,1,0
Maharashtra,Jowar,Kharif,Red,3,31.32,93.17,2.975,1001.8,815.6,22.82,37.8,156.4,1,0
Haryana,Bajra,Zaid,Laterite,2,2.27,3.35,1.476,1126.8,692.1,62.8,21.5,156.0,1,1
Uttar Pradesh,Sugarcane,Zaid,Alluvial,5,1.36,3.1,2.285,1074.3,613.0,75.25,27.2,364.0,1,0
Madhya Pradesh,Pulses,Kharif,Laterite,2,16.36,94.61,5.784,1214.2,669.4,81.37,13.5,163.7,0,0
Tamil Nadu,Bajra,Kharif,Black,4,10.19,26.01,2.552,1003.9,860.6,16.64,24.1,229.1,1,0
Uttar Pradesh,Wheat,Rabi,Red,3,40.75,107.96,2.65,841.9,948.7,-11.25,25.1,305.9,0,0
Tamil Nadu,Bajra,Rabi,Black,4,42.32,82.43,1.948,681.8,713.4,-4.43,23.4,123.3,0,1
Karnataka,Cotton,Zaid,Sandy,1,13.3,66.96,5.034,770.1,938.4,-17.93,21.6,138.8,0,0
Rajasthan,Soybean,Rabi,Red,3,16.62,39.52,2.378,1207.4,972.5,24.16,22.9,175.3,1,0
Andhra Pradesh,Soybean,Rabi,Black,4,12.19,32.33,2.651,750.5,899.4,-16.56,29.8,279.0,0,0
Punjab,Soybean,Zaid,Red,3,45.46,139.66,3.072,798.7,721.3,10.74,14.5,336.1,1,0
Uttar Pradesh,Wheat,Rabi,Alluvial,5,25.38,80.42,3.169,1169.1,775.4,50.77,14.8,241.3,0,0
Madhya Pradesh,Groundnut,Kharif,Red,3,32.98,100.81,3.057,741.7,899.2,-17.52,23.1,96.5,1,0
Maharashtra,Soybean,Rabi,Red,3,21.07,74.13,3.519,601.3,742.6,-19.03,25.3,206.2,0,0
Madhya Pradesh,Rice,Zaid,Alluvial,5,31.74,160.98,5.073,1083.3,947.0,14.39,21.3,94.7,0,0
Karnataka,Wheat,Kharif,Black,4,19.6,99.89,5.096,593.1,683.8,-13.26,26.4,80.9,1,0
Tamil Nadu,Groundnut,Rabi,Red,3,17.31,86.42,4.992,901.0,907.1,-0.68,29.7,256.4,0,0
Maharashtra,Rice,Kharif,Laterite,2,31.91,48.04,1.506,857.2,986.0,-13.07,31.9,384.7,0,1
Punjab,Rice,Kharif,Red,3,29.76,148.74,4.998,878.9,878.7,0.02,33.9,343.2,1,0
Punjab,Rice,Rabi,Black,4,15.03,24.07,1.601,195.1,701.4,-72.19,18.1,321.1,0,1
Uttar Pradesh,Jowar,Rabi,Alluvial,5,7.89,12.81,1.624,995.1,605.4,64.36,21.4,304.5,0,1
Karnataka,Cotton,Zaid,Black,4,18.74,107.58,5.739,785.1,683.9,14.8,20.7,364.0,0,0
Rajasthan,Cotton,Zaid,Sandy,1,21.05,107.3,5.097,954.1,923.1,3.35,32.1,313.5,0,0
Karnataka,Wheat,Kharif,Red,3,31.62,118.96,3.762,925.2,819.1,12.95,22.2,269.4,0,0
Tamil Nadu,Rice,Zaid,Red,3,45.77,246.0,5.375,879.0,759.9,15.67,27.8,177.6,1,0
Madhya Pradesh,Pulses,Kharif,Alluvial,5,2.29,13.63,5.947,700.7,909.7,-22.97,17.5,85.3,0,1
Punjab,Bajra,Kharif,Red,3,12.56,50.91,4.053,703.5,552.1,27.41,22.1,211.4,0,0
Madhya Pradesh,Groundnut,Zaid,Laterite,2,10.09,41.01,4.064,786.4,810.7,-2.99,20.6,373.7,1,0
Madhya Pradesh,Cotton,Zaid,Laterite,2,25.36,121.04,4.772,842.9,684.0,23.23,30.1,254.1,1,0
Madhya Pradesh,Soybean,Zaid,Black,4,21.77,47.04,2.161,694.0,647.4,7.19,18.5,114.6,0,0
Punjab,Wheat,Rabi,Alluvial,5,36.59,67.16,1.836,1035.7,772.8,34.02,36.7,277.2,1,0
West Bengal,Groundnut,Kharif,Sandy,1,12.5,59.97,4.798,718.0,1220.8,-41.18,27.3,212.9,0,1
Haryana,Wheat,Kharif,Black,4,29.93,81.54,2.725,555.0,944.8,-41.25,21.6,376.0,1,1
Tamil Nadu,Pulses,Kharif,Alluvial,5,44.25,74.14,1.675,948.8,680.4,39.45,28.0,106.3,1,0
West Bengal,Jowar,Zaid,Alluvial,5,45.58,117.34,2.574,1270.3,1031.6,23.13,21.1,299.2,1,0
Tamil Nadu,Jowar,Zaid,Black,4,47.96,133.96,2.793,508.1,654.0,-22.31,19.6,288.6,0,1
Maharashtra,Rice,Zaid,Black,4,38.78,225.92,5.826,768.7,1077.6,-28.67,30.2,394.2,1,1
Karnataka,Jowar,Zaid,Red,3,45.35,203.6,4.49,1066.0,717.8,48.51,34.2,247.7,0,0
Karnataka,Wheat,Zaid,Sandy,1,12.11,44.25,3.654,942.5,866.4,8.77,28.3,355.1,1,0
Andhra Pradesh,Soybean,Rabi,Laterite,2,10.28,60.08,5.844,955.3,1162.8,-17.85,18.6,58.6,0,0
Karnataka,Rice,Zaid,Red,3,0.82,4.53,5.516,807.6,797.4,1.28,21.1,93.0,1,0
Punjab,Sugarcane,Kharif,Alluvial,5,35.49,126.34,3.56,135.5,1125.7,-87.96,35.2,171.1,1,1
Rajasthan,Groundnut,Zaid,Sandy,1,46.9,259.31,5.528,864.5,839.2,3.01,30.8,266.8,1,0
Uttar Pradesh,Pulses,Kharif,Sandy,1,9.75,29.47,3.022,893.4,836.9,6.74,19.2,207.2,1,0
Andhra Pradesh,Rice,Zaid,Black,4,32.03,68.93,2.152,1081.5,717.1,50.81,21.7,120.9,1,0
Uttar Pradesh,Wheat,Zaid,Sandy,1,37.45,81.02,2.163,612.3,1061.9,-42.34,27.1,256.2,0,1
Tamil Nadu,Groundnut,Kharif,Sandy,1,46.42,200.13,4.312,1220.7,775.7,57.38,25.1,248.3,1,0
Uttar Pradesh,Soybean,Kharif,Alluvial,5,32.52,113.99,3.505,722.4,1135.8,-36.4,38.5,233.6,1,1
Uttar Pradesh,Maize,Kharif,Red,3,48.53,208.42,4.295,679.3,755.8,-10.12,21.6,81.7,0,0
Andhra Pradesh,Pulses,Kharif,Sandy,1,17.56,77.8,4.43,619.8,781.7,-20.71,29.6,374.5,1,1
Maharashtra,Wheat,Rabi,Black,4,17.82,19.81,1.112,1061.6,1000.6,6.1,27.8,257.3,0,1
Madhya Pradesh,Pulses,Kharif,Red,3,27.38,34.78,1.27,526.0,833.7,-36.91,16.0,142.4,0,1
Karnataka,Cotton,Zaid,Black,4,19.48,71.38,3.663,958.0,893.3,7.25,11.6,290.6,0,0
Karnataka,Maize,Zaid,Sandy,1,0.57,1.12,1.955,598.1,653.6,-8.5,23.7,161.3,1,1
Punjab,Groundnut,Rabi,Red,3,36.72,152.86,4.163,789.0,866.5,-8.95,28.5,227.0,0,0
Andhra Pradesh,Jowar,Kharif,Sandy,1,37.71,141.82,3.761,418.8,905.7,-53.75,35.5,169.4,0,1
Punjab,Wheat,Zaid,Alluvial,5,37.48,147.23,3.929,996.3,1108.6,-10.13,21.3,358.1,1,0
Rajasthan,Pulses,Rabi,Red,3,17.58,44.16,2.512,762.5,778.2,-2.02,28.8,397.9,1,0
Rajasthan,Groundnut,Zaid,Black,4,26.35,110.66,4.199,939.4,900.6,4.3,24.3,106.4,1,0
Punjab,Jowar,Rabi,Alluvial,5,18.32,94.29,5.147,755.3,1031.5,-26.78,36.4,58.3,0,1
Andhra Pradesh,Soybean,Rabi,Laterite,2,1.29,7.75,5.99,931.9,856.4,8.82,25.8,126.8,1,0
Punjab,Soybean,Kharif,Black,4,28.34,147.15,5.192,788.5,1012.9,-22.16,23.4,256.5,0,1
Karnataka,Pulses,Rabi,Sandy,1,6.63,25.1,3.787,985.2,1224.7,-19.56,27.0,110.9,1,0
West Bengal,Rice,Zaid,Black,4,4.46,8.78,1.967,933.4,854.4,9.25,27.2,334.0,1,0
Haryana,Cotton,Zaid,Laterite,2,37.9,167.02,4.407,849.1,1048.5,-19.02,34.4,193.0,1,0
Uttar Pradesh,Rice,Kharif,Black,4,0.97,5.52,5.688,575.0,927.2,-37.99,26.0,263.7,1,1
Haryana,Cotton,Kharif,Alluvial,5,47.97,98.79,2.059,690.7,978.6,-29.43,28.6,209.5,1,1
Andhra Pradesh,Wheat,Rabi,Black,4,26.01,59.29,2.28,606.9,955.8,-36.5,16.1,366.2,1,1
Haryana,Sugarcane,Kharif,Red,3,49.16,85.79,1.745,1157.2,1010.0,14.57,19.1,62.3,1,0
Rajasthan,Pulses,Zaid,Laterite,2,3.37,15.79,4.684,995.1,1000.0,-0.5,23.7,305.3,0,0
Tamil Nadu,Bajra,Zaid,Black,4,29.38,89.12,3.033,809.4,839.5,-3.58,26.6,278.3,1,0
Uttar Pradesh,Pulses,Kharif,Laterite,2,17.79,23.37,1.313,659.5,766.6,-13.98,21.4,277.3,0,1
Madhya Pradesh,Maize,Kharif,Alluvial,5,42.25,227.1,5.375,602.6,913.8,-34.06,27.7,194.9,1,1
Andhra Pradesh,Jowar,Kharif,Red,3,18.38,69.63,3.788,830.6,632.0,31.42,22.9,55.5,0,0
Uttar Pradesh,Maize,Rabi,Sandy,1,13.39,35.57,2.655,1260.8,942.8,33.73,36.2,291.2,1,0
Haryana,Soybean,Rabi,Black,4,42.95,116.82,2.72,801.5,961.9,-16.68,24.8,340.3,1,0
Rajasthan,Cotton,Zaid,Alluvial,5,19.05,46.68,2.451,1100.5,823.2,33.69,28.6,79.8,0,0
Maharashtra,Jowar,Rabi,Laterite,2,1.33,4.37,3.277,868.9,856.6,1.43,24.7,204.6,1,0
West Bengal,Soybean,Rabi,Laterite,2,19.82,53.22,2.685,940.6,986.8,-4.68,25.4,106.9,0,0
Madhya Pradesh,Jowar,Rabi,Alluvial,5,32.9,123.03,3.74,681.0,962.1,-29.21,29.3,263.8,0,1
West Bengal,Rice,Rabi,Black,4,13.09,63.72,4.868,750.7,989.0,-24.09,26.8,325.0,1,1
Uttar Pradesh,Soybean,Zaid,Sandy,1,21.88,95.68,4.372,592.3,966.6,-38.72,22.9,283.3,0,1
Rajasthan,Rice,Kharif,Black,4,3.31,8.18,2.472,876.1,865.9,1.18,28.0,161.3,0,0
Rajasthan,Rice,Zaid,Red,3,29.61,107.89,3.644,739.1,847.8,-12.81,25.0,98.9,1,0
Haryana,Jowar,Rabi,Black,4,37.94,197.29,5.201,890.0,913.3,-2.56,29.5,328.0,1,0
Karnataka,Groundnut,Kharif,Red,3,20.96,28.11,1.341,553.7,1068.0,-48.16,32.9,163.4,0,1
Haryana,Maize,Kharif,Laterite,2,21.3,29.64,1.391,913.9,889.6,2.73,32.0,57.7,0,1
Karnataka,Soybean,Kharif,Red,3,4.87,18.41,3.781,842.2,1045.8,-19.46,19.6,250.0,0,0
Karnataka,Bajra,Zaid,Sandy,1,10.5,44.04,4.196,834.2,545.1,53.04,10.0,136.3,0,0
Madhya Pradesh,Groundnut,Kharif,Alluvial,5,8.16,16.78,2.057,897.3,898.2,-0.1,39.5,344.4,0,0
Haryana,Maize,Zaid,Red,3,24.34,115.05,4.726,740.6,862.4,-14.12,29.1,100.1,1,0
Maharashtra,Soybean,Zaid,Black,4,26.7,112.97,4.231,1751.7,600.1,191.88,28.3,202.2,0,0
Punjab,Cotton,Rabi,Red,3,47.47,266.63,5.616,917.1,622.7,47.28,21.7,138.6,1,0
Punjab,Maize,Rabi,Laterite,2,4.12,7.61,1.845,826.3,919.2,-10.11,13.7,291.4,1,1
Haryana,Bajra,Kharif,Red,3,30.19,143.63,4.757,985.5,866.1,13.79,14.0,242.0,1,0
Haryana,Pulses,Kharif,Sandy,1,26.56,37.67,1.418,669.7,968.6,-30.86,24.0,326.8,0,1
West Bengal,Wheat,Rabi,Red,3,26.05,99.69,3.826,661.4,460.5,43.63,26.9,210.5,1,0
Madhya Pradesh,Rice,Zaid,Sandy,1,43.72,164.37,3.759,1000.1,1010.4,-1.02,36.1,51.7,1,0
Haryana,Wheat,Zaid,Black,4,10.67,31.4,2.942,1022.3,1011.5,1.06,27.5,125.3,0,0
West Bengal,Groundnut,Rabi,Laterite,2,2.52,13.15,5.223,1097.9,642.5,70.88,30.0,399.7,0,0
Karnataka,Pulses,Zaid,Alluvial,5,33.78,34.52,1.022,443.7,1061.2,-58.19,22.8,191.9,0,1
Rajasthan,Rice,Rabi,Black,4,17.59,63.32,3.601,768.4,1118.6,-31.3,23.3,267.1,1,1
Rajasthan,Soybean,Rabi,Black,4,1.37,2.86,2.086,882.4,650.0,35.76,17.2,366.7,0,0
Karnataka,Groundnut,Kharif,Alluvial,5,12.94,61.06,4.717,980.1,866.1,13.15,18.6,57.2,1,0
Andhra Pradesh,Bajra,Kharif,Red,3,15.81,19.22,1.215,931.6,879.7,5.9,18.6,280.9,1,0
West Bengal,Jowar,Rabi,Red,3,31.03,160.06,5.158,587.2,580.4,1.18,23.8,150.9,1,0
West Bengal,Soybean,Kharif,Red,3,9.04,46.94,5.19,928.7,800.5,16.01,16.0,147.7,1,0
Karnataka,Maize,Rabi,Laterite,2,20.95,108.17,5.164,880.3,1060.6,-17.0,21.1,128.7,0,0
Maharashtra,Jowar,Zaid,Black,4,24.38,42.98,1.763,879.6,721.0,22.0,25.8,338.0,1,0
Tamil Nadu,Groundnut,Zaid,Sandy,1,23.23,96.46,4.152,525.9,1124.3,-53.23,11.6,180.5,1,1
Uttar Pradesh,Maize,Zaid,Alluvial,5,48.71,52.21,1.072,566.4,905.3,-37.44,34.9,73.5,1,1
Karnataka,Bajra,Zaid,Black,4,2.75,14.42,5.24,1253.1,731.3,71.35,36.7,83.9,0,0
Haryana,Wheat,Rabi,Red,3,47.57,219.54,4.615,1046.5,856.8,22.15,32.2,102.0,1,0
Haryana,Maize,Zaid,Alluvial,5,29.31,107.14,3.656,784.3,630.5,24.39,28.4,364.6,1,0
Madhya Pradesh,Wheat,Zaid,Sandy,1,39.89,185.6,4.653,788.5,914.2,-13.75,28.0,199.6,1,0
Karnataka,Rice,Zaid,Black,4,21.8,32.09,1.472,1355.7,821.2,65.1,29.2,370.6,0,1
Madhya Pradesh,Cotton,Zaid,Black,4,22.96,83.67,3.643,811.3,786.1,3.21,26.5,336.1,0,0
Karnataka,Sugarcane,Rabi,Laterite,2,44.03,108.15,2.456,770.8,633.1,21.75,27.1,343.3,1,0
West Bengal,Soybean,Zaid,Black,4,44.85,262.95,5.863,601.6,837.9,-28.19,16.0,150.4,1,1
Uttar Pradesh,Sugarcane,Kharif,Black,4,12.32,65.09,5.286,741.6,880.8,-15.8,26.7,145.0,1,0
West Bengal,Rice,Kharif,Sandy,1,10.36,48.36,4.666,379.3,644.4,-41.15,29.0,246.0,1,1
Tamil Nadu,Maize,Kharif,Sandy,1,25.06,142.08,5.669,930.2,1012.2,-8.1,28.0,196.3,0,0
Rajasthan,Rice,Kharif,Alluvial,5,45.06,123.21,2.734,1114.8,891.7,25.02,32.9,228.2,0,0
Punjab,Sugarcane,Kharif,Red,3,16.46,90.58,5.504,1117.6,722.8,54.63,34.8,68.6,1,0
Karnataka,Sugarcane,Kharif,Sandy,1,32.77,86.07,2.626,624.4,835.7,-25.28,22.8,390.1,1,1
Tamil Nadu,Soybean,Rabi,Alluvial,5,35.55,165.82,4.664,226.3,975.5,-76.8,19.2,70.4,1,1
Rajasthan,Jowar,Kharif,Black,4,39.04,182.81,4.682,884.8,1055.4,-16.17,33.5,112.6,1,0
Andhra Pradesh,Pulses,Zaid,Alluvial,5,28.41,31.02,1.092,1129.7,1088.0,3.83,30.0,287.4,1,0
Uttar Pradesh,Rice,Kharif,Alluvial,5,20.42,57.29,2.805,399.0,1120.0,-64.38,22.6,104.4,0,1
Madhya Pradesh,Cotton,Rabi,Alluvial,5,48.37,53.07,1.097,706.6,650.4,8.63,24.7,87.4,1,0
Madhya Pradesh,Pulses,Kharif,Alluvial,5,30.76,184.12,5.985,889.4,743.5,19.62,24.2,103.8,1,0
West Bengal,Rice,Zaid,Sandy,1,36.56,58.9,1.611,589.7,639.8,-7.83,27.6,71.7,0,1
Haryana,Bajra,Zaid,Red,3,17.58,65.28,3.714,368.0,1013.6,-63.7,34.6,138.0,1,1
Rajasthan,Groundnut,Rabi,Alluvial,5,33.66,166.72,4.953,614.1,824.1,-25.48,20.6,144.9,1,1
Andhra Pradesh,Groundnut,Rabi,Laterite,2,13.26,26.61,2.006,657.7,1039.4,-36.72,27.8,224.5,1,1
Tamil Nadu,Sugarcane,Rabi,Black,4,12.63,43.27,3.425,328.5,637.4,-48.47,27.5,203.6,1,1
Uttar Pradesh,Groundnut,Rabi,Black,4,35.88,144.85,4.037,1067.9,746.6,43.03,14.1,215.8,0,0
Rajasthan,Wheat,Kharif,Black,4,26.31,47.38,1.801,1188.5,730.3,62.75,41.0,265.6,0,1
Andhra Pradesh,Cotton,Kharif,Black,4,34.32,167.93,4.893,807.4,1035.8,-22.05,27.3,130.8,0,1
Punjab,Groundnut,Zaid,Black,4,13.84,34.55,2.497,982.4,955.1,2.85,32.9,97.1,0,0
Karnataka,Maize,Rabi,Alluvial,5,30.14,61.93,2.055,430.2,545.6,-21.16,16.3,357.6,0,1
Madhya Pradesh,Wheat,Rabi,Red,3,22.47,85.21,3.791,764.6,780.1,-1.98,37.6,271.9,1,0
Tamil Nadu,Pulses,Kharif,Laterite,2,30.05,91.7,3.052,655.3,993.9,-34.07,23.9,71.2,1,1
Madhya Pradesh,Wheat,Rabi,Sandy,1,14.9,83.45,5.601,902.9,1017.0,-11.22,12.2,386.4,1,0
Tamil Nadu,Rice,Zaid,Laterite,2,35.91,193.95,5.4,125.5,912.0,-86.24,17.5,292.6,1,1
West Bengal,Sugarcane,Zaid,Sandy,1,40.39,138.01,3.417,724.0,877.1,-17.46,18.6,103.1,0,0
Haryana,Soybean,Rabi,Sandy,1,13.37,37.38,2.796,957.1,710.4,34.73,21.4,389.2,1,0
Tamil Nadu,Soybean,Zaid,Laterite,2,15.38,40.41,2.628,859.5,1010.5,-14.94,18.3,177.9,0,0
Madhya Pradesh,Bajra,Zaid,Alluvial,5,33.23,77.68,2.338,995.7,670.5,48.51,30.9,394.6,0,0
West Bengal,Cotton,Kharif,Black,4,34.93,130.04,3.723,650.4,608.3,6.92,27.1,86.1,0,0
Tamil Nadu,Rice,Zaid,Alluvial,5,35.35,177.64,5.025,100.0,881.1,-88.65,29.1,106.0,1,1
Punjab,Soybean,Rabi,Black,4,34.29,87.58,2.554,1074.7,783.5,37.17,28.6,280.1,0,0
Haryana,Sugarcane,Rabi,Red,3,19.94,38.9,1.95,989.8,958.5,3.26,24.5,57.8,0,1
Tamil Nadu,Pulses,Zaid,Sandy,1,20.05,67.7,3.377,1192.2,922.7,29.21,16.6,56.5,1,0
West Bengal,Soybean,Rabi,Laterite,2,13.11,17.64,1.345,818.6,1106.2,-26.0,16.9,327.2,1,1
Rajasthan,Maize,Kharif,Red,3,8.26,37.24,4.506,904.1,910.7,-0.73,17.2,108.7,0,0
Maharashtra,Wheat,Zaid,Black,4,34.78,124.93,3.592,1382.3,1009.0,37.0,19.4,371.6,0,0
Andhra Pradesh,Soybean,Zaid,Alluvial,5,5.11,17.8,3.482,337.2,722.3,-53.31,36.2,199.1,1,1
Maharashtra,Rice,Zaid,Laterite,2,46.92,117.41,2.502,911.2,956.7,-4.76,17.0,355.8,0,0
Maharashtra,Groundnut,Rabi,Sandy,1,41.42,228.78,5.523,1104.4,808.5,36.6,34.9,196.2,1,0
Uttar Pradesh,Groundnut,Rabi,Red,3,42.95,62.38,1.452,853.1,775.9,9.96,19.7,235.6,0,1
Punjab,Pulses,Zaid,Sandy,1,45.38,242.74,5.349,816.6,714.6,14.27,17.9,160.8,1,0
Rajasthan,Groundnut,Rabi,Black,4,20.73,59.76,2.884,429.1,1081.4,-60.32,28.5,280.3,1,1
Karnataka,Pulses,Rabi,Sandy,1,42.41,229.16,5.403,1166.8,849.0,37.44,33.6,161.4,1,0
Tamil Nadu,Rice,Zaid,Alluvial,5,8.32,38.66,4.644,1067.2,731.7,45.85,16.3,128.1,0,0
Andhra Pradesh,Cotton,Zaid,Red,3,1.57,2.39,1.521,1120.6,951.7,17.75,25.5,78.4,0,1
Haryana,Groundnut,Rabi,Red,3,39.35,202.97,5.158,794.6,784.0,1.35,33.1,70.2,1,0
Rajasthan,Bajra,Zaid,Alluvial,5,4.2,18.54,4.411,719.8,730.2,-1.43,31.5,157.1,1,0
Madhya Pradesh,Sugarcane,Zaid,Sandy,1,49.43,57.42,1.162,798.3,1285.3,-37.89,16.7,307.8,1,1
Karnataka,Wheat,Zaid,Alluvial,5,33.9,56.57,1.669,1224.8,668.7,83.17,24.8,122.0,1,0
Uttar Pradesh,Groundnut,Zaid,Laterite,2,37.8,157.92,4.178,734.9,1129.8,-34.95,16.3,154.7,1,1
Uttar Pradesh,Pulses,Rabi,Alluvial,5,12.67,54.63,4.313,1170.5,728.4,60.68,28.2,366.8,1,0
Rajasthan,Rice,Zaid,Sandy,1,33.86,160.25,4.733,763.2,943.9,-19.14,27.0,273.7,1,0
West Bengal,Groundnut,Kharif,Alluvial,5,2.64,12.14,4.601,585.7,834.8,-29.84,29.4,371.9,1,1
